895,Matematica,Ecuaciones Tercer Grado,ALTA,COMPLETADO,18:30,2025-10-26
562,Fisica,Calcular Aceleracion,ALTA,PENDIENTE,10:00,2025-11-03
85,Educacion Fisica,Rutinas de cinco minutos,ALTA,PENDIENTE,05:00,2025-11-20
141,Estadistica,Calcular preposiciones,MEDIA,COMPLETADO,20:00,2025-11-11
245,Historia,Edad contemporanea,BAJA,COMPLETADO,12:00,2025-10-10
732,Fotografia,Tecnicas de posicion,MEDIA,PENDIENTE,14:00,2025-12-01
592,Marketing,Estrategias de venta,ALTA,PENDIENTE,10:00,2025-12-05
120,Contabilidad,Principios basicos,BAJA,COMPLETADO,08:00,2024-10-15
500,Ingles,Vocabulario,MEDIA,COMPLETADO,10:30,2025-11-12
44,Matemática,Calculos Logaritmicos,MEDIA,COMPLETADO,06:00,2025-11-21
