
8271,Ejercicios,DIARIO,COMPLETADO,06:30,2025-10-31
8905,Jugar tenis,SEMANAL,COMPLETADO,03:43,2025-11-05
1950,Lectura Diaria,DIARIO,PENDIENTE,12:00,2025-11-11
2315,Diario de gratitud,DIARIO,PENDIENTE,15:00,2025-11-14
5830,Limpieza de habitacion,SEMANAL,COMPLETADO,17:00,2025-12-15
9724,Lavar Ropa,SEMANAL,PENDIENTE,12:00,2025-11-14
8915,Pagar servicios,MENSUAL,PENDIENTE,13:00,2025-11-11
1853,Meditar,DIARIO,COMPLETADO,12:25,2025-11-15
2773,Leer 20 minutos,DIARIO,PENDIENTE,16:40,2025-11-16
1539,Revisar tareas del dia,DIARIO,PENDIENTE,09:00,2025-11-16
0010,Reunion corta,DIARIO,COMPLETADO,19:45,2025-11-14
0175,Actualizacion de diapositivas,SEMANAL,COMPLETADO,20:00,2025-11-10
1111,Modificacion de codigos,DIARIO,PENDIENTE,23:59,2025-11-15
2701,Subir cambios,DIARIO,PENDIENTE,09:45,2025-11-16
